Name,Address,Phone
DUNK,4 rue Jean Jacques Rousseau 74000 Annecy  ,04 50 45 62 47
LA DOUZAINE CHIRONFILS,10 rue Ste Claire 74000 Annecy  ,04 50 68 63 29
Franck Belleville,80 avenue France 74000 Annecy  ,04 50 22 65 41
Gérard Diemunsch,bât La Traverse 12 boulevard Jacques Replat 74000 Annecy  ,04 50 52 40 48
Café Brunet,18 place Gabriel Fauré 74940 Annecy le Vieux  ,04 50 62 47 02
Elles Bistrot,47 avenue Loverchy 74000 Annecy  ,04 50 09 93 77
Chez Petros,15 faubourg Ste Claire 74000 Annecy  ,04 50 68 70 07
Mehdi Khyari,9 Bis avenue Romains 74000 Annecy  ,09 65 23 29 87
Vincent Favre Felix,15 chemin Abbaye 74940 Annecy le Vieux  ,09 66 87 82 74
Le Balcon du Lac,2299 rte Talloires Seythenex 2299 Col de la Forclaz 74210 Talloires Montmin  ,Numéro non trouvé
Au Fil Des Jours,Metz Tessy Park Nord Metz Tessy 74370 Epagny Metz Tessy  ,Numéro non trouvé
Résidence Hôtelière Les Chataigniers,146 route Lornard 74410 Saint Jorioz  ,Numéro non trouvé
American diner,Chaumontet 69 route Epagny 74330 Sillingy  ,Numéro non trouvé
Le Poisson Rouge,20 promenade Seines 74320 Sevrier  ,Numéro non trouvé
My Kebab,15 avenue Germain Perreard 74960 Cran Gevrier  ,Numéro non trouvé
Restaurant Le Ciselin,8 rue Pré d'Avril 74940 Annecy le Vieux  ,Numéro non trouvé
Hôtel Restaurant les Rochers et la Chrissandière,24 route Paris 74330 La Balme de Sillingy  ,Numéro non trouvé
Les Chalets Hotel de la Croix-Fry,Pré Jean 4910 route Col de la Croix Fry 74230 Manigod  ,04 50 44 90 16
Haylton Auberge d'Anglefort,1 place la Fontaine 01350 Anglefort  ,04 50 56 64 98
